record_id,longitude,latitude,speed,heading,navigation_status,mmsi,ship_type,ship_name,timestamp,decode_timestamp,data_timestamp,day_id,date,unixstamp
bB3361CrSsilpw_V247LiQ,112.72169494628906,22.377851486206055,0.0,511,,413837923,,,2024-07-27 05:01:43.260,2024-07-27 05:01:43.282,00:00:00,20240727,2024-07-27,1722027703.26
UC76azqVQ4u775L7aRo0YQ,113.21607971191406,22.713232040405273,5.3,511,,413841065,,,2024-07-27 05:01:42.986,2024-07-27 05:01:43.012,00:00:00,20240727,2024-07-27,1722027702.986
XRojH0PiSumYYVFL2oWtiQ,113.1605453491211,21.93824577331543,0.2,511,,413837927,,,2024-07-27 05:01:33.538,2024-07-27 05:01:33.560,00:00:00,20240727,2024-07-27,1722027693.538
iUMtJ9KHSWuVM5USiCO0Yw,113.21623992919922,22.713390350341797,5.2,511,,413841065,,,2024-07-27 05:01:33.533,2024-07-27 05:01:33.549,00:00:00,20240727,2024-07-27,1722027693.533
cGQ1BfQTSvmI5zjOoRY3uA,113.21642303466797,22.713565826416016,5.1,511,,413841065,,,2024-07-27 05:01:24.136,2024-07-27 05:01:24.153,00:00:00,20240727,2024-07-27,1722027684.136
o3MzsWxMS3WVHpgGLhIs4w,113.16053009033203,21.938255310058594,0.1,511,,413837927,,,2024-07-27 05:01:23.675,2024-07-27 05:01:23.695,00:00:00,20240727,2024-07-27,1722027683.675
aVYxPDN_RtupfdqIq3-svg,113.21659851074219,22.713720321655273,5.1,511,,413841065,,,2024-07-27 05:01:14.957,2024-07-27 05:01:14.982,00:00:00,20240727,2024-07-27,1722027674.957
gfcmDNFGQ82K0ITv8HEPTQ,113.21675872802734,22.713869094848633,5.0,511,,413841065,,,2024-07-27 05:01:05.376,2024-07-27 05:01:05.388,00:00:00,20240727,2024-07-27,1722027665.376
Z6ibJ9OFSFmGld1xeL9cpw,113.1605224609375,21.93826675415039,0.1,511,,413837927,,,2024-07-27 05:01:03.568,2024-07-27 05:01:03.587,00:00:00,20240727,2024-07-27,1722027663.568
Sc1wCbTXTG6_ucZNTJU_eQ,113.21694946289062,22.714021682739258,4.9,511,,413841065,,,2024-07-27 05:00:55.737,2024-07-27 05:00:55.753,00:00:00,20240727,2024-07-27,1722027655.737
ER5hFF9QTs2dad09jMyYzg,113.1605224609375,21.9382266998291,0.0,511,,413837927,,,2024-07-27 05:00:49.737,2024-07-27 05:00:49.753,00:00:00,20240727,2024-07-27,1722027649.737
CJer1BU6Qsyuzqg7yYQrTg,113.21711730957031,22.714147567749023,4.9,511,,413841065,,,2024-07-27 05:00:46.557,2024-07-27 05:00:46.584,00:00:00,20240727,2024-07-27,1722027646.557
eNje3D3YQXuJOOYWW47a4w,113.21732330322266,22.714275360107422,4.8,511,,413841065,,,2024-07-27 05:00:37.756,2024-07-27 05:00:37.806,00:00:00,20240727,2024-07-27,1722027637.756
DQ1FFyf-SVG1KjyJsSiAqg,113.21748352050781,22.71437644958496,4.8,511,,413841065,,,2024-07-27 05:00:28.472,2024-07-27 05:00:28.494,00:00:00,20240727,2024-07-27,1722027628.472
W_QMEzY-SPCViZVN0SbLMQ,111.14881134033203,23.430479049682617,0.0,511,,413863924,,,2024-07-27 05:00:25.319,2024-07-27 05:00:25.330,00:00:00,20240727,2024-07-27,1722027625.319
gHRWqf2DTGqduCNWGXI4IA,113.21768188476562,22.71450424194336,4.6,511,,413841065,,,2024-07-27 05:00:19.017,2024-07-27 05:00:19.064,00:00:00,20240727,2024-07-27,1722027619.017
R8hH4sTJSk6l_Zp138FD2Q,113.21784210205078,22.714622497558594,4.6,511,,413841065,,,2024-07-27 05:00:09.664,2024-07-27 05:00:09.683,00:00:00,20240727,2024-07-27,1722027609.664
kWQTOLZvTJuWP1pBmi6KOg,111.14915466308594,23.431554794311523,0.0,511,,413860512,,,2024-07-27 05:00:05.929,2024-07-27 05:00:05.944,00:00:00,20240727,2024-07-27,1722027605.929
LzT1RnSXQRyMu_DhS5f6tw,113.21802520751953,22.71474266052246,4.5,511,,413841065,,,2024-07-27 04:59:59.835,2024-07-27 04:59:59.872,00:00:00,20240727,2024-07-27,1722027599.835
UyLLqb-7R8WuAnI3MEG_vw,113.21820068359375,22.71484375,4.4,511,,413841065,,,2024-07-27 04:59:50.474,2024-07-27 04:59:50.498,00:00:00,20240727,2024-07-27,1722027590.474
YA3LCw--T9m8F-FQPbqPmw,111.14881896972656,23.430797576904297,0.0,511,,413866992,,,2024-07-27 04:59:44.118,2024-07-27 04:59:44.134,00:00:00,20240727,2024-07-27,1722027584.118
a39wkEVuS_eEVC85FxzYGA,113.2183837890625,22.71495246887207,4.3,511,,413841065,,,2024-07-27 04:59:41.194,2024-07-27 04:59:41.213,00:00:00,20240727,2024-07-27,1722027581.194
mqfuKoVjQgqeEq1Fgfsz9g,113.21854400634766,22.715044021606445,4.2,511,,413841065,,,2024-07-27 04:59:31.594,2024-07-27 04:59:31.616,00:00:00,20240727,2024-07-27,1722027571.594
d48Up5fyThK6TAxIHH3m3A,111.14884185791016,23.43095588684082,0.0,511,,413867644,,,2024-07-27 04:59:25.049,2024-07-27 04:59:25.067,00:00:00,20240727,2024-07-27,1722027565.049
oIqnbGp5TrOvWSSMuYr16w,113.21873474121094,22.715137481689453,4.1,511,,413841065,,,2024-07-27 04:59:22.248,2024-07-27 04:59:22.316,00:00:00,20240727,2024-07-27,1722027562.248
wlSJQ8V0SNC54QpXJ3jklg,113.21891021728516,22.715211868286133,4.1,511,,413841065,,,2024-07-27 04:59:13.008,2024-07-27 04:59:13.046,00:00:00,20240727,2024-07-27,1722027553.008
nh7htf2KTWmSU2kNSxG1vw,111.15213775634766,23.424558639526367,0.0,511,,413848169,,,2024-07-27 04:59:12.909,2024-07-27 04:59:12.931,00:00:00,20240727,2024-07-27,1722027552.909
A-nkQ1YcQzyLoHhBoQpeAA,112.03990936279297,23.07131576538086,0.0,511,,413837924,,,2024-07-27 04:59:03.382,2024-07-27 04:59:03.407,00:00:00,20240727,2024-07-27,1722027543.382
BvKDEayDRjycB9P1iImUQg,113.2190933227539,22.71527671813965,4.1,511,,413841065,,,2024-07-27 04:59:03.355,2024-07-27 04:59:03.374,00:00:00,20240727,2024-07-27,1722027543.355
hgqX0TS8QkC2meIqgV09gA,113.21926879882812,22.715330123901367,4.0,511,,413841065,,,2024-07-27 04:58:54.074,2024-07-27 04:58:54.116,00:00:00,20240727,2024-07-27,1722027534.074
aVc0ZfpvTm2ZyaO7zHvibg,113.21943664550781,22.715381622314453,3.9,511,,413841065,,,2024-07-27 04:58:44.714,2024-07-27 04:58:44.739,00:00:00,20240727,2024-07-27,1722027524.714
sV-sMVGjQ4SOA1p3Fz-zCQ,112.72171020507812,22.37786102294922,0.0,511,,413837923,,,2024-07-27 04:58:43.117,2024-07-27 04:58:43.139,00:00:00,20240727,2024-07-27,1722027523.117
BFnbY13wTnC9Rl-IHvvO1Q,113.16053009033203,21.93821144104004,0.1,511,,413837927,,,2024-07-27 04:58:40.618,2024-07-27 04:58:40.691,00:00:00,20240727,2024-07-27,1722027520.618
_zade-rnQD-vvdPeh-Zr5A,113.21981048583984,22.7154598236084,3.9,511,,413841065,,,2024-07-27 04:58:25.905,2024-07-27 04:58:25.919,00:00:00,20240727,2024-07-27,1722027505.905
JEU8hnuKQNioxXeO7W8ZKA,113.21998596191406,22.715476989746094,3.9,511,,413841065,,,2024-07-27 04:58:16.644,2024-07-27 04:58:16.660,00:00:00,20240727,2024-07-27,1722027496.644
pBBKYc5aR5mWKk5O-w1EIg,113.22018432617188,22.715478897094727,3.9,511,,413841065,,,2024-07-27 04:58:06.970,2024-07-27 04:58:06.991,00:00:00,20240727,2024-07-27,1722027486.97
l_lzRlIdRAOUpzRw_SA-JA,113.22054290771484,22.715444564819336,3.9,511,,413841065,,,2024-07-27 04:57:48.419,2024-07-27 04:57:48.451,00:00:00,20240727,2024-07-27,1722027468.419
LCs9el9jQNGgOuWoU7lx9w,113.22090911865234,22.715362548828125,3.9,511,,413841065,,,2024-07-27 04:57:30.090,2024-07-27 04:57:30.319,00:00:00,20240727,2024-07-27,1722027450.09
uzbIKpNvRZmhyhzk5MQP3A,111.1488037109375,23.43048095703125,0.0,511,,413863924,,,2024-07-27 04:57:25.546,2024-07-27 04:57:25.562,00:00:00,20240727,2024-07-27,1722027445.546
gh6jArtOQp2ZeW9_PUChDQ,113.2210693359375,22.71531105041504,3.9,511,,413841065,,,2024-07-27 04:57:20.762,2024-07-27 04:57:20.788,00:00:00,20240727,2024-07-27,1722027440.762
A1cagJwSQDqoyEI2sGoqqg,113.22125244140625,22.71523666381836,4.0,511,,413841065,,,2024-07-27 04:57:11.376,2024-07-27 04:57:11.408,00:00:00,20240727,2024-07-27,1722027431.376
_mqUHeikQnew9btWDCEeSw,111.14913940429688,23.43148422241211,0.2,511,,413860512,,,2024-07-27 04:57:05.988,2024-07-27 04:57:06.002,00:00:00,20240727,2024-07-27,1722027425.988
aSBx8Ez1SHqRD3a7Ei9fjw,113.2214126586914,22.71515464782715,4.0,511,,413841065,,,2024-07-27 04:57:01.928,2024-07-27 04:57:01.950,00:00:00,20240727,2024-07-27,1722027421.928
Jfz1UZbKSXWPqQiYxydxAw,113.2215576171875,22.715059280395508,4.0,511,,413841065,,,2024-07-27 04:56:52.523,2024-07-27 04:56:52.544,00:00:00,20240727,2024-07-27,1722027412.523
L9uW5RyFSsu7WzEwum83zg,111.1488037109375,23.430835723876953,0.0,511,,413866992,,,2024-07-27 04:56:44.249,2024-07-27 04:56:44.270,00:00:00,20240727,2024-07-27,1722027404.249
szCIkHMNQyyYXx8PazDiDg,113.22173309326172,22.71494483947754,4.0,511,,413841065,,,2024-07-27 04:56:42.969,2024-07-27 04:56:43.000,00:00:00,20240727,2024-07-27,1722027402.969
aIV_n_FQSEC2kWboyIEd3g,113.22187805175781,22.714841842651367,3.9,511,,413841065,,,2024-07-27 04:56:33.490,2024-07-27 04:56:33.509,00:00:00,20240727,2024-07-27,1722027393.49
a2sO9bguRciWXjfcB-k_Aw,111.14884185791016,23.43095588684082,0.0,511,,413867644,,,2024-07-27 04:56:24.869,2024-07-27 04:56:24.887,00:00:00,20240727,2024-07-27,1722027384.869
bbRGIuj8QGWhFWnNCMKggQ,113.22203826904297,22.7147159576416,3.9,511,,413841065,,,2024-07-27 04:56:24.091,2024-07-27 04:56:24.130,00:00:00,20240727,2024-07-27,1722027384.091
B2XgzkukToa5rVrqeCi8SA,113.2221450805664,22.714630126953125,3.8,511,,413841065,,,2024-07-27 04:56:15.563,2024-07-27 04:56:15.592,00:00:00,20240727,2024-07-27,1722027375.563
KVk4QEB8S-emVfo5Mcs50g,111.1521224975586,23.424545288085938,0.0,511,,413848169,,,2024-07-27 04:56:12.965,2024-07-27 04:56:12.981,00:00:00,20240727,2024-07-27,1722027372.965
pweuWnjHRNmmq2xdcWh7Ag,113.22228240966797,22.714500427246094,3.8,511,,413841065,,,2024-07-27 04:56:06.091,2024-07-27 04:56:06.144,00:00:00,20240727,2024-07-27,1722027366.091
69X5Yt2oS6iTdYQVDevYyw,112.0399169921875,23.071313858032227,0.0,511,,413837924,,,2024-07-27 04:56:03.650,2024-07-27 04:56:03.691,00:00:00,20240727,2024-07-27,1722027363.65
VH0alBnzQlmf5hR5_mIfsg,113.22239685058594,22.714380264282227,3.7,511,,413841065,,,2024-07-27 04:55:56.731,2024-07-27 04:55:56.747,00:00:00,20240727,2024-07-27,1722027356.731
3PBRE7sLQoGArhBEH0sbmg,113.22251892089844,22.71424674987793,3.6,511,,413841065,,,2024-07-27 04:55:47.209,2024-07-27 04:55:47.225,00:00:00,20240727,2024-07-27,1722027347.209
dspW0SNrQKq59BpF1xDK5w,112.72171020507812,22.377866744995117,0.0,511,,413837923,,,2024-07-27 04:55:43.100,2024-07-27 04:55:43.122,00:00:00,20240727,2024-07-27,1722027343.1
xCEBsNwMSoC8mpNU7z0TGQ,113.16053009033203,21.93824577331543,0.0,511,,413837927,,,2024-07-27 04:55:40.580,2024-07-27 04:55:40.657,00:00:00,20240727,2024-07-27,1722027340.58
KGI-n6PORkCw4eEmwSQerQ,113.22261047363281,22.714130401611328,3.5,511,,413841065,,,2024-07-27 04:55:37.778,2024-07-27 04:55:37.790,00:00:00,20240727,2024-07-27,1722027337.778
o4fFaO6QRRSd2hW2ks_soQ,113.22271728515625,22.714014053344727,3.4,511,,413841065,,,2024-07-27 04:55:28.442,2024-07-27 04:55:28.460,00:00:00,20240727,2024-07-27,1722027328.442
-Vb2qcwDT3GnBKUUi6j4GQ,113.22281646728516,22.713890075683594,3.4,511,,413841065,,,2024-07-27 04:55:18.969,2024-07-27 04:55:18.992,00:00:00,20240727,2024-07-27,1722027318.969
ZhCEwH8dQKavVngw3Gw-fA,113.22290802001953,22.71377944946289,3.3,511,,413841065,,,2024-07-27 04:55:09.562,2024-07-27 04:55:09.586,00:00:00,20240727,2024-07-27,1722027309.562
56AOMu5KSWGJoMPyQs9gNQ,113.22298431396484,22.713661193847656,3.2,511,,413841065,,,2024-07-27 04:54:59.963,2024-07-27 04:55:00.006,00:00:00,20240727,2024-07-27,1722027299.963
P_nFbhIvRjK0pUws_DjpNA,113.22306823730469,22.71354866027832,3.2,511,,413841065,,,2024-07-27 04:54:50.442,2024-07-27 04:54:50.474,00:00:00,20240727,2024-07-27,1722027290.442
eXbXd3MjRFaQ90UxrM2ENg,113.22314453125,22.71341323852539,3.3,511,,413841065,,,2024-07-27 04:54:48.376,2024-07-27 04:54:48.411,00:00:00,20240727,2024-07-27,1722027288.376
yk_1LQrjTyyAXBw55aeO9Q,113.22322845458984,22.713289260864258,3.3,511,,413841065,,,2024-07-27 04:54:47.484,2024-07-27 04:54:47.510,00:00:00,20240727,2024-07-27,1722027287.484
hUfD2U-gSQKLUzJ7ohIT9w,113.22314453125,22.71341323852539,3.3,511,,413841065,,,2024-07-27 04:54:40.843,2024-07-27 04:54:40.868,00:00:00,20240727,2024-07-27,1722027280.843
